"Gene_symbol"	"   Genes"	"Freq"
"FZD7"	"frizzled class receptor 7"	"5"
"GRN"	"granulin precursor"	"5"
"HDAC1"	"histone deacetylase 1"	"5"
"HNRNPA2B1"	"heterogeneous nuclear ribonucleoprotein A2/B1"	"5"
"HNRNPC"	"heterogeneous nuclear ribonucleoprotein C"	"5"
"HOXA9"	"homeobox A9"	"5"
"ID4"	"inhibitor of DNA binding 4, HLH protein"	"5"
"IER3"	"immediate early response 3"	"5"
"IFITM3"	"interferon induced transmembrane protein 3"	"5"
"IL1RN"	"interleukin 1 receptor antagonist"	"5"
"IRS2"	"insulin receptor substrate 2"	"5"
"KY"	"kyphoscoliosis peptidase"	"5"
"LAMA5"	"laminin subunit alpha 5"	"5"
"LILRB1"	"leukocyte immunoglobulin like receptor B1"	"5"
"LILRB2"	"leukocyte immunoglobulin like receptor B2"	"5"
"LINC01116"	"long intergenic non-protein coding RNA 1116"	"5"
"MICA"	"MHC class I polypeptide-related sequence A"	"5"
"MICB"	"MHC class I polypeptide-related sequence B"	"5"
"NCOA4"	"nuclear receptor coactivator 4"	"5"
"NRIP1"	"nuclear receptor interacting protein 1"	"5"
"PAEP"	"progestagen associated endometrial protein"	"5"
"PHF1"	"PHD finger protein 1"	"5"
"PLK1"	"polo like kinase 1"	"5"
"PPP2R1B"	"protein phosphatase 2 scaffold subunit Abeta"	"5"
"PTGER2"	"prostaglandin E receptor 2"	"5"
"RHOC"	"ras homolog family member C"	"5"
"RUNX1"	"RUNX family transcription factor 1"	"5"
"S100B"	"S100 calcium binding protein B"	"5"
"SALL4"	"spalt like transcription factor 4"	"5"
"SIRT2"	"sirtuin 2"	"5"
"SOCS1"	"suppressor of cytokine signaling 1"	"5"
"SOD1"	"superoxide dismutase 1"	"5"
"SPARC"	"secreted protein acidic and cysteine rich"	"5"
"TAC3"	"tachykinin precursor 3"	"5"
"TRPM2"	"transient receptor potential cation channel subfamily M member 2"	"5"
"TSPAN1"	"tetraspanin 1"	"5"
"UGT1A1"	"UDP glucuronosyltransferase family 1 member A1"	"5"
"ZNF217"	"zinc finger protein 217"	"5"
"APC"	"APC regulator of WNT signaling pathway"	"4"
"APOE"	"apolipoprotein E"	"4"
"ATG5"	"autophagy related 5"	"4"
"BARD1"	"BRCA1 associated RING domain 1"	"4"
"CARM1"	"coactivator associated arginine methyltransferase 1"	"4"
"CCS"	"copper chaperone for superoxide dismutase"	"4"
"CD9"	"CD9 molecule"	"4"
"CDK1"	"cyclin dependent kinase 1"	"4"
"CDKN1A"	"cyclin dependent kinase inhibitor 1A"	"4"
"CDX1"	"caudal type homeobox 1"	"4"
"CHUK"	"component of inhibitor of nuclear factor kappa B kinase complex"	"4"
"CIT"	"citron rho-interacting serine/threonine kinase"	"4"
"CLCN3"	"chloride voltage-gated channel 3"	"4"
"CNP"	"2',3'-cyclic nucleotide 3' phosphodiesterase"	"4"
"COL1A1"	"collagen type I alpha 1 chain"	"4"
"COPA"	"COPI coat complex subunit alpha"	"4"
"CPZ"	"carboxypeptidase Z"	"4"
"CRTC2"	"CREB regulated transcription coactivator 2"	"4"
"CXCL11"	"C-X-C motif chemokine ligand 11"	"4"
"CXCL13"	"C-X-C motif chemokine ligand 13"	"4"
"DAP"	"death associated protein"	"4"
"DEPTOR"	"DEP domain containing MTOR interacting protein"	"4"
"DLX4"	"distal-less homeobox 4"	"4"
"ENPP3"	"ectonucleotide pyrophosphatase/phosphodiesterase 3"	"4"
"ERF"	"ETS2 repressor factor"	"4"
"FBXW7"	"F-box and WD repeat domain containing 7"	"4"
"FMR1"	"FMRP translational regulator 1"	"4"
"FOXA2"	"forkhead box A2"	"4"
"GPER1"	"G protein-coupled estrogen receptor 1"	"4"
"GPR18"	"G protein-coupled receptor 18"	"4"
"HCK"	"HCK proto-oncogene, Src family tyrosine kinase"	"4"
"HES5"	"hes family bHLH transcription factor 5"	"4"
"HLA-E"	"major histocompatibility complex, class I, E"	"4"
"HRAS"	"HRas proto-oncogene, GTPase"	"4"
"IGFBP3"	"insulin like growth factor binding protein 3"	"4"
"IK"	"IK cytokine"	"4"
"IL7"	"interleukin 7"	"4"
"IL12B"	"interleukin 12B"	"4"
"IL23A"	"interleukin 23 subunit alpha"	"4"
"IVD"	"isovaleryl-CoA dehydrogenase"	"4"
"KIR2DL1"	"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1"	"4"
"KIR2DL4"	"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4"	"4"
"KL"	"klotho"	"4"
"KRT18"	"keratin 18"	"4"
"LGR5"	"leucine rich repeat containing G protein-coupled receptor 5"	"4"
"LHCGR"	"luteinizing hormone/choriogonadotropin receptor"	"4"
"LTA"	"lymphotoxin alpha"	"4"
"MAF"	"MAF bZIP transcription factor"	"4"
"MBD2"	"methyl-CpG binding domain protein 2"	"4"
"MMP12"	"matrix metallopeptidase 12"	"4"
"NOS2"	"nitric oxide synthase 2"	"4"
"NOS3"	"nitric oxide synthase 3"	"4"
"NOTCH3"	"notch receptor 3"	"4"
"NRP1"	"neuropilin 1"	"4"
"PGD"	"phosphogluconate dehydrogenase"	"4"
"PIEZO1"	"piezo type mechanosensitive ion channel component 1"	"4"
"PTGER4"	"prostaglandin E receptor 4"	"4"
"RUNX2"	"RUNX family transcription factor 2"	"4"
"S100P"	"S100 calcium binding protein P"	"4"
"SELL"	"selectin L"	"4"
"SHH"	"sonic hedgehog signaling molecule"	"4"
"SIRT5"	"sirtuin 5"	"4"
"SLIT3"	"slit guidance ligand 3"	"4"
"SPP1"	"secreted phosphoprotein 1"	"4"
"TAT"	"tyrosine aminotransferase"	"4"
"TFDP1"	"transcription factor Dp-1"	"4"
"TOP2A"	"DNA topoisomerase II alpha"	"4"
"TRIB3"	"tribbles pseudokinase 3"	"4"
"USF1"	"upstream transcription factor 1"	"4"
"XBP1"	"X-box binding protein 1"	"4"
"ZP3"	"zona pellucida glycoprotein 3"	"4"
"ACTB"	"actin beta"	"3"
"ADRB1"	"adrenoceptor beta 1"	"3"
"ADRB3"	"adrenoceptor beta 3"	"3"
"AGR2"	"anterior gradient 2, protein disulphide isomerase family member"	"3"
"AIM2"	"absent in melanoma 2"	"3"
"AKT3"	"AKT serine/threonine kinase 3"	"3"
"ALCAM"	"activated leukocyte cell adhesion molecule"	"3"
"ATF6"	"activating transcription factor 6"	"3"
"ATG13"	"autophagy related 13"	"3"
"ATP1B4"	"ATPase Na+/K+ transporting family member beta 4"	"3"
"AXL"	"AXL receptor tyrosine kinase"	"3"
"B2M"	"beta-2-microglobulin"	"3"
"BAD"	"BCL2 associated agonist of cell death"	"3"
"BAG6"	"BAG cochaperone 6"	"3"
"BANCR"	"BRAF-activated non-protein coding RNA"	"3"
"BMP4"	"bone morphogenetic protein 4"	"3"
"CACNA2D3"	"calcium voltage-gated channel auxiliary subunit alpha2delta 3"	"3"
"CAPS"	"calcyphosine"	"3"
"CCL22"	"C-C motif chemokine ligand 22"	"3"
"CCL25"	"C-C motif chemokine ligand 25"	"3"
"CCR8"	"C-C motif chemokine receptor 8"	"3"
"CD38"	"CD38 molecule"	"3"
"CDH2"	"cadherin 2"	"3"
"CDK2"	"cyclin dependent kinase 2"	"3"
"CHRNB1"	"cholinergic receptor nicotinic beta 1 subunit"	"3"
"CLC"	"Charcot-Leyden crystal galectin"	"3"
"CPE"	"carboxypeptidase E"	"3"
"CRB3"	"crumbs cell polarity complex component 3"	"3"
"CXCL2"	"C-X-C motif chemokine ligand 2"	"3"
"CYP2D6"	"cytochrome P450 family 2 subfamily D member 6"	"3"
"CYP3A5"	"cytochrome P450 family 3 subfamily A member 5"	"3"
"CYP11A1"	"cytochrome P450 family 11 subfamily A member 1"	"3"
"DMBT1"	"deleted in malignant brain tumors 1"	"3"
"EDN1"	"endothelin 1"	"3"
"EXTL3"	"exostosin like glycosyltransferase 3"	"3"
"F3"	"coagulation factor III, tissue factor"	"3"
"FGF1"	"fibroblast growth factor 1"	"3"
"FH"	"fumarate hydratase"	"3"
"FLT1"	"fms related receptor tyrosine kinase 1"	"3"
"FTO"	"FTO alpha-ketoglutarate dependent dioxygenase"	"3"
"G6PD"	"glucose-6-phosphate dehydrogenase"	"3"
"GDF3"	"growth differentiation factor 3"	"3"
"GFAP"	"glial fibrillary acidic protein"	"3"
"GP2"	"glycoprotein 2"	"3"
"GP6"	"glycoprotein VI platelet"	"3"
"GP9"	"glycoprotein IX platelet"	"3"
"G0S2"	"G0/G1 switch 2"	"3"
"HBEGF"	"heparin binding EGF like growth factor"	"3"
"HLA-C"	"major histocompatibility complex, class I, C"	"3"
"HLA-DPB1"	"major histocompatibility complex, class II, DP beta 1"	"3"
"HSD11B2"	"hydroxysteroid 11-beta dehydrogenase 2"	"3"
"HSD17B3"	"hydroxysteroid 17-beta dehydrogenase 3"	"3"
"HSD17B7"	"hydroxysteroid 17-beta dehydrogenase 7"	"3"
"IFIT1"	"interferon induced protein with tetratricopeptide repeats 1"	"3"
"IGF1R"	"insulin like growth factor 1 receptor"	"3"
"IL4"	"interleukin 4"	"3"
"ISG20"	"interferon stimulated exonuclease gene 20"	"3"
"ITGAL"	"integrin subunit alpha L"	"3"
"JAK2"	"Janus kinase 2"	"3"
"JUN"	"Jun proto-oncogene, AP-1 transcription factor subunit"	"3"
"KAZN"	"kazrin, periplakin interacting protein"	"3"
"KCNQ1"	"potassium voltage-gated channel subfamily Q member 1"	"3"
"KCNQ2"	"potassium voltage-gated channel subfamily Q member 2"	"3"
"KLF4"	"Kruppel like factor 4"	"3"
"KLF13"	"Kruppel like factor 13"	"3"
"KLK6"	"kallikrein related peptidase 6"	"3"
"LOXL1"	"lysyl oxidase like 1"	"3"
"MAG"	"myelin associated glycoprotein"	"3"
"MAP3K4"	"mitogen-activated protein kinase kinase kinase 4"	"3"
"MBP"	"myelin basic protein"	"3"
"MIR196A2"	"microRNA 196a-2"	"3"
"MKI67"	"marker of proliferation Ki-67"	"3"
"MSX1"	"msh homeobox 1"	"3"
"NFE2L3"	"nuclear factor, erythroid 2 like 3"	"3"
"NUP210"	"nucleoporin 210"	"3"
"PAM"	"peptidylglycine alpha-amidating monooxygenase"	"3"
"PDCD6"	"programmed cell death 6"	"3"
"PIAS3"	"protein inhibitor of activated STAT 3"	"3"
"POSTN"	"periostin"	"3"
"PTGES"	"prostaglandin E synthase"	"3"
"RAMP1"	"receptor activity modifying protein 1"	"3"
"S1PR1"	"sphingosine-1-phosphate receptor 1"	"3"
"S1PR2"	"sphingosine-1-phosphate receptor 2"	"3"
"S100A8"	"S100 calcium binding protein A8"	"3"
"S100A9"	"S100 calcium binding protein A9"	"3"
"SELE"	"selectin E"	"3"
"SFRP1"	"secreted frizzled related protein 1"	"3"
"SHC1"	"SHC adaptor protein 1"	"3"
"SIRT6"	"sirtuin 6"	"3"
"SIRT7"	"sirtuin 7"	"3"
"SLC2A4"	"solute carrier family 2 member 4"	"3"
"SMARCA4"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	"3"
"SORT1"	"sortilin 1"	"3"
"SP1"	"Sp1 transcription factor"	"3"
"SP4"	"Sp4 transcription factor"	"3"
"SSTR1"	"somatostatin receptor 1"	"3"
"SSTR5"	"somatostatin receptor 5"	"3"
"STAR"	"steroidogenic acute regulatory protein"	"3"
"STAT5A"	"signal transducer and activator of transcription 5A"	"3"
"SULT1A1"	"sulfotransferase family 1A member 1"	"3"
"TACR1"	"tachykinin receptor 1"	"3"
"TACR3"	"tachykinin receptor 3"	"3"
"TIMP4"	"TIMP metallopeptidase inhibitor 4"	"3"
"TTF1"	"transcription termination factor 1"	"3"
"TXN2"	"thioredoxin 2"	"3"
"VCAN"	"versican"	"3"
"VPS53"	"VPS53 subunit of GARP complex"	"3"
"ZP1"	"zona pellucida glycoprotein 1"	"3"
"ZP2"	"zona pellucida glycoprotein 2"	"3"
"ABCC4"	"ATP binding cassette subfamily C member 4"	"2"
"ACAN"	"aggrecan"	"2"
"ACR"	"acrosin"	"2"
"ADAM8"	"ADAM metallopeptidase domain 8"	"2"
"ADAM12"	"ADAM metallopeptidase domain 12"	"2"
"AFM"	"afamin"	"2"
"AGA"	"aspartylglucosaminidase"	"2"
"AKR1D1"	"aldo-keto reductase family 1 member D1"	"2"
"ALDH1A1"	"aldehyde dehydrogenase 1 family member A1"	"2"
"ALDH1A2"	"aldehyde dehydrogenase 1 family member A2"	"2"
"ALOX15"	"arachidonate 15-lipoxygenase"	"2"
"AMIGO2"	"adhesion molecule with Ig like domain 2"	"2"
"APOA2"	"apolipoprotein A2"	"2"
"AQP8"	"aquaporin 8"	"2"
"ARC"	"activity regulated cytoskeleton associated protein"	"2"
"ARG1"	"arginase 1"	"2"
"ARID1B"	"AT-rich interaction domain 1B"	"2"
"ATG12"	"autophagy related 12"	"2"
"B4GALT1"	"beta-1,4-galactosyltransferase 1"	"2"
"BMPR2"	"bone morphogenetic protein receptor type 2"	"2"
"BNC2"	"basonuclin 2"	"2"
"BPI"	"bactericidal permeability increasing protein"	"2"
"BST2"	"bone marrow stromal cell antigen 2"	"2"
"C4A"	"complement C4A (Rodgers blood group)"	"2"
"C4B"	"complement C4B (Chido blood group)"	"2"
"CA3"	"carbonic anhydrase 3"	"2"
"CAD"	"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"	"2"
"CAPN7"	"calpain 7"	"2"
"CASP8"	"caspase 8"	"2"
"CASR"	"calcium sensing receptor"	"2"
"CCL3"	"C-C motif chemokine ligand 3"	"2"
"CCL14"	"C-C motif chemokine ligand 14"	"2"
"CCL18"	"C-C motif chemokine ligand 18"	"2"
"CCL24"	"C-C motif chemokine ligand 24"	"2"
"CCN3"	"cellular communication network factor 3"	"2"
"CCR3"	"C-C motif chemokine receptor 3"	"2"
"CCR7"	"C-C motif chemokine receptor 7"	"2"
"CD5"	"CD5 molecule"	"2"
"CD81"	"CD81 molecule"	"2"
"CDK4"	"cyclin dependent kinase 4"	"2"
"CDKN1B"	"cyclin dependent kinase inhibitor 1B"	"2"
"CDKN1C"	"cyclin dependent kinase inhibitor 1C"	"2"
"CDKN2A"	"cyclin dependent kinase inhibitor 2A"	"2"
"CDKN2D"	"cyclin dependent kinase inhibitor 2D"	"2"
"CETP"	"cholesteryl ester transfer protein"	"2"
"CHAD"	"chondroadherin"	"2"
"CHD5"	"chromodomain helicase DNA binding protein 5"	"2"
"COL1A2"	"collagen type I alpha 2 chain"	"2"
"COL16A1"	"collagen type XVI alpha 1 chain"	"2"
"CSF2"	"colony stimulating factor 2"	"2"
"CX3CL1"	"C-X3-C motif chemokine ligand 1"	"2"
"CYP2A6"	"cytochrome P450 family 2 subfamily A member 6"	"2"
"DDAH2"	"dimethylarginine dimethylaminohydrolase 2"	"2"
"DLX6"	"distal-less homeobox 6"	"2"
"DPPA2"	"developmental pluripotency associated 2"	"2"
"EPC1"	"enhancer of polycomb homolog 1"	"2"
"EPCAM"	"epithelial cell adhesion molecule"	"2"
"EPHX1"	"epoxide hydrolase 1"	"2"
"ERCC2"	"ERCC excision repair 2, TFIIH core complex helicase subunit"	"2"
"ETAA1"	"ETAA1 activator of ATR kinase"	"2"
"ETS2"	"ETS proto-oncogene 2, transcription factor"	"2"
"FAAH"	"fatty acid amide hydrolase"	"2"
"FGF9"	"fibroblast growth factor 9"	"2"
"FGFRL1"	"fibroblast growth factor receptor like 1"	"2"
"FPR1"	"formyl peptide receptor 1"	"2"
"FPR2"	"formyl peptide receptor 2"	"2"
"FURIN"	"furin, paired basic amino acid cleaving enzyme"	"2"
"FUT4"	"fucosyltransferase 4"	"2"
"FYN"	"FYN proto-oncogene, Src family tyrosine kinase"	"2"
"GADD45A"	"growth arrest and DNA damage inducible alpha"	"2"
"GATA5"	"GATA binding protein 5"	"2"
"GK"	"glycerol kinase"	"2"
"GSC"	"goosecoid homeobox"	"2"
"GSR"	"glutathione-disulfide reductase"	"2"
"GUSB"	"glucuronidase beta"	"2"
"HAS1"	"hyaluronan synthase 1"	"2"
"HLA-DQB1"	"major histocompatibility complex, class II, DQ beta 1"	"2"
"HLA-DRA"	"major histocompatibility complex, class II, DR alpha"	"2"
"HMBS"	"hydroxymethylbilane synthase"	"2"
"HOXA5"	"homeobox A5"	"2"
"HOXA13"	"homeobox A13"	"2"
"HOXB2"	"homeobox B2"	"2"
"HOXD10"	"homeobox D10"	"2"
"HPD"	"4-hydroxyphenylpyruvate dioxygenase"	"2"
"HSD17B6"	"hydroxysteroid 17-beta dehydrogenase 6"	"2"
"HTRA1"	"HtrA serine peptidase 1"	"2"
"ICOS"	"inducible T cell costimulator"	"2"
"IL13"	"interleukin 13"	"2"
"INHBB"	"inhibin subunit beta B"	"2"
"INSL3"	"insulin like 3"	"2"
"IRF3"	"interferon regulatory factor 3"	"2"
"IRF5"	"interferon regulatory factor 5"	"2"
"ITGB2"	"integrin subunit beta 2"	"2"
"JAK3"	"Janus kinase 3"	"2"
"JUND"	"JunD proto-oncogene, AP-1 transcription factor subunit"	"2"
"KIR2DL2"	"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2"	"2"
"KIR3DS1"	"killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1"	"2"
"KIT"	"KIT proto-oncogene, receptor tyrosine kinase"	"2"
"KLF10"	"Kruppel like factor 10"	"2"
"LAMC1"	"laminin subunit gamma 1"	"2"
"LATS1"	"large tumor suppressor kinase 1"	"2"
"LEP"	"leptin"	"2"
"LINC01018"	"long intergenic non-protein coding RNA 1018"	"2"
"LPAR1"	"lysophosphatidic acid receptor 1"	"2"
"LPAR3"	"lysophosphatidic acid receptor 3"	"2"
"LYZ"	"lysozyme"	"2"
"MAK"	"male germ cell associated kinase"	"2"
"MBD1"	"methyl-CpG binding domain protein 1"	"2"
"MED12"	"mediator complex subunit 12"	"2"
"MGMT"	"O-6-methylguanine-DNA methyltransferase"	"2"
"MMP10"	"matrix metallopeptidase 10"	"2"
"MMP13"	"matrix metallopeptidase 13"	"2"
"MOS"	"MOS proto-oncogene, serine/threonine kinase"	"2"
"MR1"	"major histocompatibility complex, class I-related"	"2"
"MRC2"	"mannose receptor C type 2"	"2"
"MSI2"	"musashi RNA binding protein 2"	"2"
"MTR"	"5-methyltetrahydrofolate-homocysteine methyltransferase"	"2"
"NCOA3"	"nuclear receptor coactivator 3"	"2"
"NF1"	"neurofibromin 1"	"2"
"NOD2"	"nucleotide binding oligomerization domain containing 2"	"2"
"NTN4"	"netrin 4"	"2"
"NTRK1"	"neurotrophic receptor tyrosine kinase 1"	"2"
"OSR1"	"odd-skipped related transcription factor 1"	"2"
"OSR2"	"odd-skipped related transciption factor 2"	"2"
"PAH"	"phenylalanine hydroxylase"	"2"
"PAQR5"	"progestin and adipoQ receptor family member 5"	"2"
"PAQR6"	"progestin and adipoQ receptor family member 6"	"2"
"PAQR7"	"progestin and adipoQ receptor family member 7"	"2"
"PAQR8"	"progestin and adipoQ receptor family member 8"	"2"
"PDGFRA"	"platelet derived growth factor receptor alpha"	"2"
"PDGFRB"	"platelet derived growth factor receptor beta"	"2"
"PDIK1L"	"PDLIM1 interacting kinase 1 like"	"2"
"PEMT"	"phosphatidylethanolamine N-methyltransferase"	"2"
"PI3"	"peptidase inhibitor 3"	"2"
"PINK1"	"PTEN induced kinase 1"	"2"
"PNP"	"purine nucleoside phosphorylase"	"2"
"POU5F1"	"POU class 5 homeobox 1"	"2"
"PPIA"	"peptidylprolyl isomerase A"	"2"
"PPM1D"	"protein phosphatase, Mg2+/Mn2+ dependent 1D"	"2"
"PRKG1-AS1"	"PRKG1 antisense RNA 1"	"2"
"PRKY"	"protein kinase Y-linked (pseudogene)"	"2"
"PRMT1"	"protein arginine methyltransferase 1"	"2"
"PRMT8"	"protein arginine methyltransferase 8"	"2"
"PTCH2"	"patched 2"	"2"
"PTGDS"	"prostaglandin D2 synthase"	"2"
"PTGER3"	"prostaglandin E receptor 3"	"2"
"PTS"	"6-pyruvoyltetrahydropterin synthase"	"2"
"PYCARD"	"PYD and CARD domain containing"	"2"
"RBP1"	"retinol binding protein 1"	"2"
"RBP4"	"retinol binding protein 4"	"2"
"RHOJ"	"ras homolog family member J"	"2"
"RND3"	"Rho family GTPase 3"	"2"
"ROBO1"	"roundabout guidance receptor 1"	"2"
"ROR1"	"receptor tyrosine kinase like orphan receptor 1"	"2"
"S1PR3"	"sphingosine-1-phosphate receptor 3"	"2"
"SCAF11"	"SR-related CTD associated factor 11"	"2"
"SCN9A"	"sodium voltage-gated channel alpha subunit 9"	"2"
"SCN11A"	"sodium voltage-gated channel alpha subunit 11"	"2"
"SDS"	"serine dehydratase"	"2"
"SERPINE1"	"serpin family E member 1"	"2"
"SFRP4"	"secreted frizzled related protein 4"	"2"
"SLC2A1"	"solute carrier family 2 member 1"	"2"
"SLC2A3"	"solute carrier family 2 member 3"	"2"
"SLCO4A1"	"solute carrier organic anion transporter family member 4A1"	"2"
"SMAD2"	"SMAD family member 2"	"2"
"SPHKAP"	"SPHK1 interactor, AKAP domain containing"	"2"
"SPN"	"sialophorin"	"2"
"SPR"	"sepiapterin reductase"	"2"
"SRM"	"spermidine synthase"	"2"
"SUV39H1"	"suppressor of variegation 3-9 homolog 1"	"2"
"SUZ12"	"SUZ12 polycomb repressive complex 2 subunit"	"2"
"TAC1"	"tachykinin precursor 1"	"2"
"TAGLN"	"transgelin"	"2"
"TBR1"	"T-box brain transcription factor 1"	"2"
"TDGF1"	"teratocarcinoma-derived growth factor 1"	"2"
"TEAD1"	"TEA domain transcription factor 1"	"2"
"TEK"	"TEK receptor tyrosine kinase"	"2"
"TGIF1"	"TGFB induced factor homeobox 1"	"2"
"TGM2"	"transglutaminase 2"	"2"
"TLR1"	"toll like receptor 1"	"2"
"TNFRSF1A"	"TNF receptor superfamily member 1A"	"2"
"TNFRSF1B"	"TNF receptor superfamily member 1B"	"2"
"TSC1"	"TSC complex subunit 1"	"2"
"TST"	"thiosulfate sulfurtransferase"	"2"
"TTN"	"titin"	"2"
"TYMP"	"thymidine phosphorylase"	"2"
"UBC"	"ubiquitin C"	"2"
"UTF1"	"undifferentiated embryonic cell transcription factor 1"	"2"
"VAV3"	"vav guanine nucleotide exchange factor 3"	"2"
"VCAM1"	"vascular cell adhesion molecule 1"	"2"
"VEGFC"	"vascular endothelial growth factor C"	"2"
"VIM"	"vimentin"	"2"
"VIT"	"vitrin"	"2"
"WASL"	"WASP like actin nucleation promoting factor"	"2"
"XRCC5"	"X-ray repair cross complementing 5"	"2"
"ZFP36"	"ZFP36 ring finger protein"	"2"
"ZFP42"	"ZFP42 zinc finger protein"	"2"
"ZFPM2-AS1"	"ZFPM2 antisense RNA 1"	"2"
"ZNF366"	"zinc finger protein 366"	"2"
"ACTG2"	"actin gamma 2, smooth muscle"	"1"
"ADAM10"	"ADAM metallopeptidase domain 10"	"1"
"ADAM22"	"ADAM metallopeptidase domain 22"	"1"
"AGRN"	"agrin"	"1"
"AK8"	"adenylate kinase 8"	"1"
"AKR1C4"	"aldo-keto reductase family 1 member C4"	"1"
"AKT1S1"	"AKT1 substrate 1"	"1"
"ALB"	"albumin"	"1"
"ALDH1A3"	"aldehyde dehydrogenase 1 family member A3"	"1"
"AMER1"	"APC membrane recruitment protein 1"	"1"
"AOC3"	"amine oxidase copper containing 3"	"1"
"APLP2"	"amyloid beta precursor like protein 2"	"1"
"APOA1"	"apolipoprotein A1"	"1"
"APOBEC3A"	"apolipoprotein B mRNA editing enzyme catalytic subunit 3A"	"1"
"APOBEC3B"	"apolipoprotein B mRNA editing enzyme catalytic subunit 3B"	"1"
"APOD"	"apolipoprotein D"	"1"
"AQP3"	"aquaporin 3 (Gill blood group)"	"1"
"ARID2"	"AT-rich interaction domain 2"	"1"
"ASL"	"argininosuccinate lyase"	"1"
"ASTN2"	"astrotactin 2"	"1"
"ATAD3A"	"ATPase family AAA domain containing 3A"	"1"
"ATF2"	"activating transcription factor 2"	"1"
"ATF4"	"activating transcription factor 4"	"1"
"ATG7"	"autophagy related 7"	"1"
"ATR"	"ATR serine/threonine kinase"	"1"
"AURKA"	"aurora kinase A"	"1"
"AURKB"	"aurora kinase B"	"1"
"B4GALNT1"	"beta-1,4-N-acetyl-galactosaminyltransferase 1"	"1"
"BACH2"	"BTB domain and CNC homolog 2"	"1"
"BAG5"	"BAG cochaperone 5"	"1"
"BAGE"	"B melanoma antigen"	"1"
"BATF"	"basic leucine zipper ATF-like transcription factor"	"1"
"BCL2L11"	"BCL2 like 11"	"1"
"BCL11A"	"BAF chromatin remodeling complex subunit BCL11A"	"1"
"BHMT"	"betaine--homocysteine S-methyltransferase"	"1"
"BHMT2"	"betaine--homocysteine S-methyltransferase 2"	"1"
"BIRC2"	"baculoviral IAP repeat containing 2"	"1"
"BMI1"	"BMI1 proto-oncogene, polycomb ring finger"	"1"
"BMP1"	"bone morphogenetic protein 1"	"1"
"BMP8B"	"bone morphogenetic protein 8b"	"1"
"BMP15"	"bone morphogenetic protein 15"	"1"
"BSX"	"brain specific homeobox"	"1"
"BUB1B"	"BUB1 mitotic checkpoint serine/threonine kinase B"	"1"
"C1R"	"complement C1r"	"1"
"C1S"	"complement C1s"	"1"
"C3AR1"	"complement C3a receptor 1"	"1"
"C5"	"complement C5"	"1"
"CA1"	"carbonic anhydrase 1"	"1"
"CAB39"	"calcium binding protein 39"	"1"
"CACNA1B"	"calcium voltage-gated channel subunit alpha1 B"	"1"
"CACNA2D1"	"calcium voltage-gated channel auxiliary subunit alpha2delta 1"	"1"
"CACNA2D2"	"calcium voltage-gated channel auxiliary subunit alpha2delta 2"	"1"
"CADM1"	"cell adhesion molecule 1"	"1"
"CADM2"	"cell adhesion molecule 2"	"1"
"CASP3"	"caspase 3"	"1"
"CASP9"	"caspase 9"	"1"
"CCDC170"	"coiled-coil domain containing 170"	"1"
"CCL4"	"C-C motif chemokine ligand 4"	"1"
"CCNB1"	"cyclin B1"	"1"
"CCNB2"	"cyclin B2"	"1"
"CCR6"	"C-C motif chemokine receptor 6"	"1"
"CD22"	"CD22 molecule"	"1"
"CD28"	"CD28 molecule"	"1"
"CD46"	"CD46 molecule"	"1"
"CD47"	"CD47 molecule"	"1"
"CD55"	"CD55 molecule (Cromer blood group)"	"1"
"CD80"	"CD80 molecule"	"1"
"CD83"	"CD83 molecule"	"1"
"CD99"	"CD99 molecule (Xg blood group)"	"1"
"CD209"	"CD209 molecule"	"1"
"CDC20"	"cell division cycle 20"	"1"
"CDC20B"	"cell division cycle 20B"	"1"
"CDH4"	"cadherin 4"	"1"
"CDKN2B"	"cyclin dependent kinase inhibitor 2B"	"1"
"CEBPA"	"CCAAT enhancer binding protein alpha"	"1"
"CEBPD"	"CCAAT enhancer binding protein delta"	"1"
"CEL"	"carboxyl ester lipase"	"1"
"CFH"	"complement factor H"	"1"
"CGA"	"glycoprotein hormones, alpha polypeptide"	"1"
"CHD4"	"chromodomain helicase DNA binding protein 4"	"1"
"CHD7"	"chromodomain helicase DNA binding protein 7"	"1"
"CHDH"	"choline dehydrogenase"	"1"
"CHEK2"	"checkpoint kinase 2"	"1"
"CHKA"	"choline kinase alpha"	"1"
"CHURC1"	"churchill domain containing 1"	"1"
"CKS2"	"CDC28 protein kinase regulatory subunit 2"	"1"
"COL4A2"	"collagen type IV alpha 2 chain"	"1"
"COPE"	"COPI coat complex subunit epsilon"	"1"
"CORT"	"cortistatin"	"1"
"CRABP1"	"cellular retinoic acid binding protein 1"	"1"
"CREBBP"	"CREB binding protein"	"1"
"CSF1"	"colony stimulating factor 1"	"1"
"CST1"	"cystatin SN"	"1"
"CSTB"	"cystatin B"	"1"
"CTH"	"cystathionine gamma-lyase"	"1"
"CTNNA3"	"catenin alpha 3"	"1"
